评价时间,2025-01-11 17:21:15,2024-12-09 11:44:54,2024-12-09 11:44:15,2024-11-21 09:03:07,2024-10-08 10:53:28,2024-10-06 16:22:36,2024-06-18 09:54:10,2024-06-16 10:45:30,2024-06-12 19:55:45,2024-06-09 11:14:33,2024-06-03 19:28:47,2024-06-03 17:42:20,2024-05-30 14:54:43,2024-05-28 19:57:44,2024-05-22 13:48:40,2024-05-17 16:15:14,2024-05-10 13:16:09,2024-04-26 10:52:40,2024-04-18 17:35:02,2024-04-10 16:01:43
评价内容,果然没让我失望，非常专业，负责，过程中老师也耐心的回答我的疑虑，老师给我讲了很多，时间上也是按照我的要求，保证质量，提前给我的，值得推荐！,好,好,挺不错的，质量不错，没有想到还有这么靠谱的的啦！之前比较担心能不能准时的，结果还是非常按约定时间给的，真的太用心了,毕业作业被打回好几次，被导师师说了一通，自己改的完全不行时间有点急，通过朋友找到了学长，学长加急给我熬夜修改，真的很感动，改的质量也非常的好，现在已经顺利通过了。感谢学长，特意来给学长好评。,必须给好评，说实话的这次的topic有点难，我自己不太有把握，真的是老师帮大忙了，最后拿到的essay都相当的神速和满意，谢谢哈,老师讲课很详细，有问题解决很及时，非常满意，感谢,合作愉快,资料很全，不错,可真是不错了,老师讲课很详细，听了两节课，期末应付没问题了,老师太厉害了，考的灰常满意，下次再来,第三次来了，老师还是一如既往的负责，做的非常满意，值得信赖，还会来找点的,不错,谢谢支持,很愉快的交易,学长极为认真负责，有问题也会及时沟通，力求给兄弟姐妹最清晰、最生动的讲解。,找老师辅导的，老师提前备了课，讲课很流利，讲的很仔细，有疑问随时解答，听了两节课，收获很大，谢谢,第二次来了，老师实力没得说，都是按我的要求来做的，结果非常满意，下次需要再来,学业顺利
化学,钇见氢城,https://www.goofish.com/item?id=856072300020&categoryId=50023914,10人想要,150浏览,chem答疑 | 个人答疑F导 留学生 化学 有机金属化学 F导 有机化学，大学化学 普通化学均可 organic chemistry clayden 化学生物学CHEM3121 化学生物学(高级)CHEM3921 药物设计与开发 PCOL3012 药物设计与开发(高级)PCOL3912 药理学基础PCOL2021 从分子到治疗 MCHM3001 从分子到治疗(高级)MCHM3901 化学基础 1A CHEM1011 化学基础1B CHEM1012 药物化学跨学科项目MCHM3888 科学跨学科项目SCPU3001 合成化学 CHEM3118 机理 合成 反应式 鉴别 有机化学等等期中期末作//业考//试补习答疑F导 985博士在读，欢迎带问题点我想要咨询！  展开

化学,钇见氢城,https://www.goofish.com/item?id=866536106462&categoryId=50023914,6人想要,78浏览,转录组数据分析，基因组数据分析，比较基因组测序分析。GWAS数据分析，基因组学分析，转录组学分析，蛋白质组学分析，代谢组学分析，表观遗传学分析，宏基因组学分析，微生物群落分析 可以对生物数据进行分析和数据挖掘，包括序列比对，基因注释，差异分析.表观组学、甲基化测序、组蛋白修饰、染色质可及性、转录调控、乳酸化、肉碱代谢、RNA、pulldown、多钟循环代谢特征关联分析、DNA甲基化预测非小细胞肺癌抗PD-1反应、孟德尔随机化联合代谢组、单核苷酸多态性、巨噬细胞、单核细胞、竞争性内源RNA、空间转录组、影像组学、多组学分析、单细胞转录组、LncRNA、 肿瘤微环境、细胞衰老、脑胶质瘤、单基因生信分析、TCGA、GEO、CG 可带需求咨询。 

化学,钇见氢城,https://www.goofish.com/item?id=866833603778&categoryId=50023914,0人想要,68浏览,CHME 7330-化学工程热力学 CHME 5101-化学工程分析基础 CHME 5105-材料表征技术 CHME 5137-化学工程中的计算建模 CHME 5160-药物递送：工程分析 CHME 5179-复杂的流体和日常材料 CHME 5185-实验设计与伦理研究（DOEER） CHME 5510-过程安全工程基础 CHME 5515-生物技术和制药行业的工艺安全工程 CHME 5520-过程安全工程 - 化学反应性、泄压和危害分析 CHME 5621-电化学工程 CHME 5630-生化工程 CHME 5631-生物材料原理与应用 CHME 5632-生物材料高级专题 CHME 5683-高分子科学导论 CHME 7262-过程安全专题 CHME 7320-化学工程数学 CHME 7340-化学工程动力学  展开

化学,钇见氢城,https://www.goofish.com/item?id=857220795725&categoryId=50023914,2人想要,128浏览,留学生化学辅导，实力强悍！博士在线1v1，冲刺高绩点！  可承接有机化学，无机化学，物理化学，合成化学，基础化学，Alevel化学和IB化学  有需要1V1上课，日常化学答疑，exam冲刺，考研有机化学答疑，essay，assignment等等语言都可以联系  点击我想要联系我吧~ 

化学,钇见氢城,https://www.goofish.com/item?id=855412690096&categoryId=50023914,17人想要,171浏览,985在读博三，实力加持 指导留学生化学答疑 留学生化学tutor英国化学 tutor，英国化学本科化学有机化学，生物无机化学，化学代谢，生物科技，分子生物学，免疫学，基因工程，膜生物学，生物能源，生物物理化学，生物有机化学，立体化学，微生物生理学和激素，蛋白质化学，生物化学工具与技术，分子与计算生物学等等 元素有机化学、天然有机化学、有机固体化学、有机合成化学、有机光化学、物理有机化学、生物有机化学、立体化学、理论有机化学和有机分析化学。化学热力学、化学动力学、结构化学、量子化学、胶体与界面化学、催化学、热化学、光化学、电化学，磁化学，高能化学，计算化学，晶体化学 

